id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-B1-001,D2_Secu,100.0,6.12,11.0170,0.000230,1,0,0,100,0.0,0.0,0.0,77.3,0,0.00
CIB-B1-002,D2_Secu,100.0,6.12,44.3094,0.000923,0,0,0,100,0.0,100.0,0.0,8.7,1,26.31
CIB-B1-003,D2_Secu,30.0,6.12,6.4239,0.000134,0,1,0,100,0.0,0.0,0.0,86.8,0,0.00
CIB-B1-004,D2_Secu,100.0,6.12,44.6615,0.000930,0,0,0,100,0.0,100.0,0.0,8.0,1,26.20
CIB-B1-005,D2_Secu,100.0,6.12,9.3833,0.000195,0,0,0,100,0.0,100.0,0.0,80.7,1,37.10
CIB-B1-006,D2_Secu,100.0,6.12,10.5840,0.000221,0,0,0,100,0.0,100.0,0.0,78.2,1,36.73
CIB-B1-007,D2_Secu,100.0,6.12,41.3441,0.000861,0,0,0,100,0.0,100.0,0.0,14.8,1,27.22
CIB-B1-008,D2_Secu,100.0,6.12,44.8256,0.000934,0,0,0,100,0.0,100.0,0.0,7.6,1,26.15
CIB-B1-009,D2_Secu,100.0,6.12,29.9403,0.000624,0,0,0,100,0.0,100.0,0.0,38.3,1,30.75
CIB-B1-010,D2_Secu,15.0,6.12,24.9224,0.000519,1,0,0,100,0.0,0.0,0.0,48.7,0,0.00
CIB-B1-011,D2_Secu,20.0,6.12,7.3142,0.000152,0,1,0,100,0.0,0.0,0.0,84.9,0,0.00
CIB-B1-012,D2_Secu,100.0,6.12,34.2985,0.000715,0,0,0,100,0.0,100.0,0.0,29.3,1,29.40
CIB-B1-013,D2_Secu,100.0,6.12,9.7930,0.000204,0,0,0,100,0.0,100.0,0.0,79.8,1,36.98
CIB-B1-014,D2_Secu,25.0,6.12,7.0655,0.000147,0,1,0,100,0.0,0.0,0.0,85.5,0,0.00
CIB-B1-015,D2_Secu,10.0,6.12,4.3333,0.000090,1,0,0,100,0.0,0.0,0.0,91.1,0,0.00
CIB-B1-016,D2_Secu,100.0,6.12,21.2168,0.000442,0,0,0,100,0.0,100.0,0.0,56.3,1,33.44
CIB-B1-017,D2_Secu,30.0,6.12,4.4541,0.000093,0,1,0,100,0.0,0.0,0.0,90.8,0,0.00
CIB-B1-018,D2_Secu,100.0,6.12,39.5695,0.000824,0,0,0,100,0.0,100.0,0.0,18.5,1,27.77
CIB-B1-019,D2_Secu,100.0,6.12,22.9277,0.000478,0,0,0,100,0.0,100.0,0.0,52.8,1,32.91
CIB-B1-020,D2_Secu,100.0,6.12,3.4900,0.000073,0,0,0,100,0.0,100.0,0.0,92.8,1,38.92
CIB-B1-021,D2_Secu,25.0,6.12,10.6727,0.000222,0,1,0,100,0.0,0.0,0.0,78.0,0,0.00
CIB-B1-022,D2_Secu,20.0,6.12,11.5551,0.000241,0,1,0,100,0.0,0.0,0.0,76.2,0,0.00
CIB-B1-023,D2_Secu,100.0,6.12,6.4969,0.000135,0,0,0,100,0.0,100.0,0.0,86.6,1,38.00
CIB-B1-024,D2_Secu,100.0,6.12,42.3159,0.000882,0,0,0,100,0.0,100.0,0.0,12.8,1,26.92
CIB-B1-025,D2_Secu,15.0,6.12,9.1593,0.000191,0,1,0,100,0.0,0.0,0.0,81.1,0,0.00
CIB-B1-026,D2_Secu,10.0,6.12,8.6453,0.000180,0,1,0,100,0.0,0.0,0.0,82.2,0,0.00
CIB-B1-027,D2_Secu,12.0,6.12,11.1252,0.000232,0,1,0,100,0.0,0.0,0.0,77.1,0,0.00
CIB-B1-028,D2_Secu,100.0,6.12,19.0683,0.000397,0,0,0,100,0.0,100.0,0.0,60.7,1,34.11
CIB-B1-029,D2_Secu,20.0,6.12,8.8671,0.000185,0,1,0,100,0.0,0.0,0.0,81.7,0,0.00
CIB-B1-030,D2_Secu,100.0,6.12,33.9898,0.000708,0,0,0,100,0.0,100.0,0.0,29.9,1,29.49
CIB-B1-031,D2_Secu,15.0,6.12,9.0973,0.000190,0,1,0,100,0.0,0.0,0.0,81.3,0,0.00
CIB-B1-032,D2_Secu,100.0,6.12,12.1225,0.000253,0,0,0,100,0.0,100.0,0.0,75.0,1,36.25
CIB-B1-033,D2_Secu,25.0,6.12,33.7021,0.000702,0,1,0,100,0.0,0.0,0.0,30.5,0,0.00
CIB-B1-034,D2_Secu,100.0,6.12,43.4392,0.000905,0,0,0,100,0.0,100.0,0.0,10.5,1,26.58
CIB-B1-035,D2_Secu,20.0,6.12,10.3860,0.000216,0,1,0,100,0.0,0.0,0.0,78.6,0,0.00
CIB-B1-036,D2_Secu,100.0,6.12,8.9274,0.000186,0,0,0,100,0.0,100.0,0.0,81.6,1,37.24
CIB-B1-037,D2_Secu,100.0,6.12,9.5401,0.000199,0,0,0,100,0.0,100.0,0.0,80.3,1,37.05
CIB-B1-038,D2_Secu,30.0,6.12,10.0855,0.000210,0,1,0,100,0.0,0.0,0.0,79.2,0,0.00
CIB-B1-039,D2_Secu,100.0,6.12,45.3904,0.000946,0,0,0,100,0.0,100.0,0.0,6.5,1,25.97
CIB-B1-040,D2_Secu,100.0,6.12,44.9903,0.000937,0,0,0,100,0.0,100.0,0.0,7.3,1,26.10
CIB-B1-041,D2_Secu,100.0,6.12,24.9659,0.000520,0,0,0,100,0.0,100.0,0.0,48.6,1,32.29
CIB-B1-042,D2_Secu,25.0,6.12,18.1723,0.000379,0,1,0,100,0.0,0.0,0.0,62.6,0,0.00
CIB-B1-043,D2_Secu,100.0,6.12,45.4084,0.000946,0,0,0,100,0.0,100.0,0.0,6.4,1,25.96
CIB-B1-044,D2_Secu,20.0,6.12,16.8084,0.000350,0,1,0,100,0.0,0.0,0.0,65.4,0,0.00
CIB-B1-045,D2_Secu,15.0,6.12,7.1092,0.000148,0,1,0,100,0.0,0.0,0.0,85.4,0,0.00
CIB-B1-046,D2_Secu,100.0,6.12,7.8648,0.000164,0,0,0,100,0.0,100.0,0.0,83.8,1,37.57
CIB-B1-047,D2_Secu,100.0,6.12,17.4879,0.000364,0,0,0,100,0.0,100.0,0.0,64.0,1,34.60
CIB-B1-048,D2_Secu,40.0,6.12,29.4602,0.000614,0,1,0,100,0.0,0.0,0.0,39.3,0,0.00
CIB-B1-049,D2_Secu,100.0,6.12,9.6652,0.000201,0,0,0,100,0.0,100.0,0.0,80.1,1,37.01
CIB-B1-050,D2_Secu,100.0,6.12,26.9711,0.000562,0,0,0,100,0.0,100.0,0.0,44.5,1,31.67
CIB-B1-051,D2_Secu,100.0,6.12,9.0635,0.000189,0,0,0,100,0.0,100.0,0.0,81.3,1,37.20
CIB-B1-052,D2_Secu,20.0,6.12,8.7558,0.000182,0,1,0,100,0.0,0.0,0.0,82.0,0,0.00
CIB-B1-053,D2_Secu,100.0,6.12,15.5523,0.000324,0,0,0,100,0.0,100.0,0.0,68.0,1,35.20
CIB-B1-054,D2_Secu,100.0,6.12,16.0811,0.000335,0,0,0,100,0.0,100.0,0.0,66.9,1,35.03
CIB-B1-055,D2_Secu,100.0,6.12,44.7640,0.000933,0,0,0,100,0.0,100.0,0.0,7.8,1,26.17
CIB-B1-056,D2_Secu,25.0,6.12,11.6515,0.000243,0,1,0,100,0.0,0.0,0.0,76.0,0,0.00
CIB-B1-057,D2_Secu,30.0,6.12,44.0320,0.000917,0,1,0,100,0.0,0.0,0.0,9.3,0,0.00
CIB-B1-058,D2_Secu,100.0,6.12,38.7750,0.000808,0,0,0,100,0.0,100.0,0.0,20.1,1,28.02
CIB-B1-059,D2_Secu,100.0,6.12,25.1512,0.000524,0,0,0,100,0.0,100.0,0.0,48.2,1,32.23
CIB-B1-060,D2_Secu,20.0,6.12,10.8543,0.000226,0,1,0,100,0.0,0.0,0.0,77.7,0,0.00
CIB-B1-061,D2_Secu,25.0,6.12,9.3404,0.000195,0,1,0,100,0.0,0.0,0.0,80.8,0,0.00
CIB-B1-062,D2_Secu,20.0,6.12,14.8208,0.000309,0,1,0,100,0.0,0.0,0.0,69.5,0,0.00
CIB-B1-063,D2_Secu,100.0,6.12,41.0627,0.000855,0,0,0,100,0.0,100.0,0.0,15.4,1,27.31
CIB-B1-064,D2_Secu,25.0,6.12,12.4037,0.000258,0,1,0,100,0.0,0.0,0.0,74.5,0,0.00
CIB-B1-065,D2_Secu,20.0,6.12,9.2816,0.000193,0,1,0,100,0.0,0.0,0.0,80.9,0,0.00
CIB-B1-066,D2_Secu,100.0,6.12,8.6964,0.000181,0,0,0,100,0.0,100.0,0.0,82.1,1,37.31
CIB-B1-067,D2_Secu,15.0,6.12,9.1732,0.000191,0,1,0,100,0.0,0.0,0.0,81.1,0,0.00
CIB-B1-068,D2_Secu,25.0,6.12,8.1456,0.000170,0,1,0,100,0.0,0.0,0.0,83.2,0,0.00
CIB-B1-069,D2_Secu,20.0,6.12,14.0744,0.000293,0,1,0,100,0.0,0.0,0.0,71.0,0,0.00
CIB-B1-070,D2_Secu,100.0,6.12,44.5645,0.000928,0,0,0,100,0.0,100.0,0.0,8.2,1,26.23
CIB-B1-071,D2_Secu,100.0,6.12,44.4849,0.000927,0,0,0,100,0.0,100.0,0.0,8.4,1,26.25
CIB-B1-072,D2_Secu,25.0,6.12,17.8310,0.000371,0,1,0,100,0.0,0.0,0.0,63.3,0,0.00
CIB-B1-073,D2_Secu,100.0,6.12,13.4469,0.000280,0,0,0,100,0.0,100.0,0.0,72.3,1,35.85
CIB-B1-074,D2_Secu,100.0,6.12,44.9580,0.000937,0,0,0,100,0.0,100.0,0.0,7.4,1,26.11
CIB-B1-075,D2_Secu,20.0,6.12,8.5283,0.000178,0,1,0,100,0.0,0.0,0.0,82.4,0,0.00
CIB-B1-076,D2_Secu,100.0,6.12,29.2427,0.000609,0,0,0,100,0.0,100.0,0.0,39.8,1,30.97
CIB-B1-077,D2_Secu,100.0,6.12,7.8648,0.000164,0,0,0,100,0.0,100.0,0.0,83.8,1,37.57
CIB-B1-078,D2_Secu,100.0,6.12,8.2452,0.000172,0,0,0,100,0.0,100.0,0.0,83.0,1,37.45
CIB-B1-079,D2_Secu,15.0,6.12,15.1785,0.000316,0,1,0,100,0.0,0.0,0.0,68.7,0,0.00
CIB-B1-080,D2_Secu,100.0,6.12,45.0075,0.000938,0,0,0,100,0.0,100.0,0.0,7.3,1,26.09
CIB-B1-081,D2_Secu,100.0,6.12,13.9119,0.000290,0,0,0,100,0.0,100.0,0.0,71.4,1,35.71
CIB-B1-082,D2_Secu,100.0,6.12,30.7720,0.000641,0,0,0,100,0.0,100.0,0.0,36.6,1,30.50
CIB-B1-083,D2_Secu,25.0,6.12,7.8800,0.000164,0,1,0,100,0.0,0.0,0.0,83.8,0,0.00
CIB-B1-084,D2_Secu,40.0,6.12,30.9072,0.000644,0,0,0,100,0.0,100.0,0.0,36.4,1,30.46
CIB-B1-085,D2_Secu,15.0,6.12,14.0395,0.000292,0,1,0,100,0.0,0.0,0.0,71.1,0,0.00
CIB-B1-086,D2_Secu,100.0,6.12,8.7309,0.000182,0,0,0,100,0.0,100.0,0.0,82.0,1,37.30
CIB-B1-087,D2_Secu,100.0,6.12,8.2960,0.000173,0,0,0,100,0.0,100.0,0.0,82.9,1,37.44
CIB-B1-088,D2_Secu,100.0,6.12,10.1182,0.000211,0,0,0,100,0.0,100.0,0.0,79.2,1,36.87
CIB-B1-089,D2_Secu,100.0,6.12,26.3428,0.000549,0,0,0,100,0.0,100.0,0.0,45.8,1,31.87
CIB-B1-090,D2_Secu,100.0,6.12,9.9898,0.000208,0,0,0,100,0.0,100.0,0.0,79.4,1,36.91
CIB-B1-091,D2_Secu,25.0,6.12,10.6875,0.000223,0,1,0,100,0.0,0.0,0.0,78.0,0,0.00
CIB-B1-092,D2_Secu,100.0,6.12,44.6567,0.000930,0,0,0,100,0.0,100.0,0.0,8.0,1,26.20
CIB-B1-093,D2_Secu,100.0,6.12,6.1091,0.000127,0,0,0,100,0.0,100.0,0.0,87.4,1,38.12
CIB-B1-094,D2_Secu,100.0,6.12,12.0108,0.000250,0,0,0,100,0.0,100.0,0.0,75.3,1,36.29
CIB-B1-095,D2_Secu,25.0,6.12,44.6492,0.000930,0,1,0,100,0.0,0.0,0.0,8.1,0,0.00
CIB-B1-096,D2_Secu,12.0,6.12,7.1193,0.000148,0,1,0,100,0.0,0.0,0.0,85.3,0,0.00
CIB-B1-097,D2_Secu,100.0,6.12,14.5981,0.000304,0,0,0,100,0.0,100.0,0.0,70.0,1,35.49
CIB-B1-098,D2_Secu,100.0,6.12,8.0270,0.000167,0,0,0,100,0.0,100.0,0.0,83.5,1,37.52
CIB-B1-099,D2_Secu,100.0,6.12,9.7999,0.000204,0,0,0,100,0.0,100.0,0.0,79.8,1,36.97
CIB-B1-100,D2_Secu,100.0,6.12,6.4306,0.000134,0,0,0,100,0.0,100.0,0.0,86.8,1,38.02