id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,User_CSAT
CIB-A1-001,D1_Code,92.5,5.82,8.2179,0.000171,0.0,90.0,100.0,45.2,58.8,100.0,0.0,83.1,1.0,58.05,,,,,,,,,
CIB-A1-002,D1_Code,95.1,5.82,5.1308,0.000107,0.0,95.0,100.0,88.5,70.9,100.0,0.0,89.5,1.0,63.23,,,,,,,,,
CIB-A1-003,D1_Code,88.4,5.82,8.2283,0.000171,0.0,85.0,100.0,85.1,67.5,100.0,0.0,83.1,1.0,61.09,,,,,,,,,
CIB-A1-004,D1_Code,96.0,5.82,3.1628,6.6e-05,0.0,100.0,100.0,70.5,67.6,100.0,0.0,93.5,1.0,62.69,,,,,,,,,
CIB-A1-005,D1_Code,91.2,5.82,5.7382,0.00012,0.0,90.0,100.0,55.4,61.4,100.0,0.0,88.2,1.0,59.71,,,,,,,,,
CIB-A1-006,D1_Code,94.3,5.82,6.4743,0.000135,0.0,95.0,100.0,65.2,65.1,100.0,0.0,86.7,1.0,60.78,,,,,,,,,
CIB-A1-007,D1_Code,93.0,5.82,6.6663,0.000139,0.0,95.0,100.0,80.1,68.8,100.0,0.0,86.3,1.0,62.02,,,,,,,,,
CIB-A1-008,D1_Code,89.5,5.82,8.851,0.000184,0.0,80.0,100.0,72.5,63.1,100.0,0.0,81.8,1.0,59.36,,,,,,,,,
CIB-A1-009,D1_Code,90.1,5.82,6.8174,0.000142,0.0,95.0,100.0,35.5,57.6,100.0,0.0,86.0,1.0,58.06,,,,,,,,,
CIB-A1-010,D1_Code,92.0,5.82,4.8129,0.0001,0.0,90.0,100.0,60.7,62.7,100.0,0.0,90.1,1.0,60.46,,,,,,,,,
CIB-A1-011,D1_Code,91.5,5.82,3.3908,7.1e-05,0.0,85.0,100.0,50.9,59.0,100.0,0.0,93.0,1.0,59.6,,,,,,,,,
CIB-A1-012,D1_Code,93.8,5.82,7.1248,0.000148,0.0,95.0,100.0,70.0,66.3,100.0,0.0,85.4,1.0,61.0,,,,,,,,,
CIB-A1-013,D1_Code,94.0,5.82,7.247,0.000151,0.0,90.0,100.0,75.0,66.3,100.0,0.0,85.1,1.0,60.96,,,,,,,,,
CIB-A1-014,D1_Code,89.0,5.82,3.1594,6.6e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,93.5,1.0,56.52,,,,,,,,,
CIB-A1-015,D1_Code,90.5,5.82,4.0416,8.4e-05,0.0,85.0,100.0,40.0,56.3,100.0,0.0,91.7,1.0,58.45,,,,,,,,,
CIB-A1-016,D1_Code,91.8,5.82,5.8828,0.000123,0.0,90.0,100.0,60.0,62.5,100.0,0.0,87.9,1.0,60.06,,,,,,,,,
CIB-A1-017,D1_Code,92.2,5.82,7.7143,0.000161,0.0,90.0,100.0,60.0,62.5,100.0,0.0,84.2,1.0,59.5,,,,,,,,,
CIB-A1-018,D1_Code,90.8,5.82,6.7331,0.00014,0.0,85.0,100.0,45.0,57.5,100.0,0.0,86.2,1.0,58.05,,,,,,,,,
CIB-A1-019,D1_Code,98.2,5.82,2.656,5.5e-05,100.0,100.0,100.0,25.0,81.3,100.0,0.0,94.5,1.0,67.64,,,,,,,,,
CIB-A1-020,D1_Code,91.0,5.82,5.0342,0.000105,0.0,90.0,100.0,65.0,63.8,100.0,0.0,89.7,1.0,60.77,,,,,,,,,
CIB-A1-021,D1_Code,93.5,5.82,4.2401,8.8e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,91.3,1.0,62.77,,,,,,,,,
CIB-A1-022,D1_Code,92.8,5.82,3.4239,7.1e-05,0.0,90.0,100.0,75.0,66.3,100.0,0.0,93.0,1.0,62.14,,,,,,,,,
CIB-A1-023,D1_Code,91.2,5.82,3.355,7e-05,0.0,85.0,100.0,50.0,58.8,100.0,0.0,93.1,1.0,59.54,,,,,,,,,
CIB-A1-024,D1_Code,95.5,5.82,3.8283,8e-05,0.0,100.0,100.0,95.0,73.8,100.0,0.0,92.1,1.0,64.64,,,,,,,,,
CIB-A1-025,D1_Code,88.5,5.82,1.1336,2.4e-05,0.0,80.0,100.0,40.0,55.0,100.0,0.0,97.7,1.0,58.9,,,,,,,,,
CIB-A1-026,D1_Code,90.2,5.82,2.1732,4.5e-05,0.0,85.0,100.0,55.0,60.0,100.0,0.0,95.5,1.0,60.33,,,,,,,,,
CIB-A1-027,D1_Code,93.1,5.82,3.4602,7.2e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,92.9,1.0,63.01,,,,,,,,,
CIB-A1-028,D1_Code,94.5,5.82,7.4428,0.000155,0.0,95.0,100.0,90.0,71.3,100.0,0.0,84.7,1.0,62.65,,,,,,,,,
CIB-A1-029,D1_Code,97.5,5.82,2.698,5.6e-05,100.0,100.0,100.0,75.0,93.8,100.0,0.0,94.5,1.0,71.98,,,,,,,,,
CIB-A1-030,D1_Code,90.0,5.82,2.6095,5.4e-05,0.0,85.0,100.0,40.0,56.3,100.0,0.0,94.6,1.0,58.9,,,,,,,,,
CIB-A1-031,D1_Code,93.4,5.82,3.0267,6.3e-05,0.0,95.0,100.0,85.0,70.0,100.0,0.0,93.8,1.0,63.57,,,,,,,,,
CIB-A1-032,D1_Code,91.5,5.82,2.8425,5.9e-05,0.0,90.0,100.0,55.0,61.3,100.0,0.0,94.2,1.0,60.57,,,,,,,,,
CIB-A1-033,D1_Code,92.0,5.82,3.4494,7.2e-05,0.0,90.0,100.0,70.0,65.0,100.0,0.0,92.9,1.0,61.69,,,,,,,,,
CIB-A1-034,D1_Code,96.5,5.82,1.0541,2.2e-05,0.0,100.0,100.0,98.0,74.5,100.0,0.0,97.8,1.0,65.75,,,,,,,,,
CIB-A1-035,D1_Code,89.5,5.82,3.293,6.9e-05,0.0,85.0,100.0,40.0,56.3,100.0,0.0,93.2,1.0,58.68,,,,,,,,,
CIB-A1-036,D1_Code,93.0,5.82,1.6039,3.3e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,96.7,1.0,63.58,,,,,,,,,
CIB-A1-037,D1_Code,91.2,5.82,6.0137,0.000125,0.0,90.0,100.0,60.0,62.5,100.0,0.0,87.6,1.0,60.02,,,,,,,,,
CIB-A1-038,D1_Code,91.8,5.82,3.953,8.2e-05,0.0,90.0,100.0,65.0,63.8,100.0,0.0,91.9,1.0,61.1,,,,,,,,,
CIB-A1-039,D1_Code,95.0,5.82,2.9471,6.1e-05,0.0,100.0,100.0,95.0,73.8,100.0,0.0,93.9,1.0,64.92,,,,,,,,,
CIB-A1-040,D1_Code,94.5,5.82,2.5998,5.4e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,94.6,1.0,64.15,,,,,,,,,
CIB-A1-041,D1_Code,96.8,5.82,2.9065,6.1e-05,100.0,100.0,100.0,100.0,100.0,100.0,0.0,94.0,1.0,74.1,,,,,,,,,
CIB-A1-042,D1_Code,94.2,5.82,3.3725,7e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,93.0,1.0,63.91,,,,,,,,,
CIB-A1-043,D1_Code,94.0,5.82,3.573,7.4e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,92.7,1.0,63.85,,,,,,,,,
CIB-A1-044,D1_Code,92.5,5.82,2.7485,5.7e-05,0.0,90.0,100.0,75.0,66.3,100.0,0.0,94.3,1.0,62.34,,,,,,,,,
CIB-A1-045,D1_Code,92.0,5.82,2.9431,6.1e-05,0.0,90.0,100.0,70.0,65.0,100.0,0.0,93.9,1.0,61.84,,,,,,,,,
CIB-A1-046,D1_Code,99.0,5.82,2.1393,4.5e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,95.6,1.0,73.91,,,,,,,,,
CIB-A1-047,D1_Code,92.8,5.82,3.4251,7.1e-05,0.0,90.0,100.0,80.0,67.5,100.0,0.0,92.9,1.0,62.56,,,,,,,,,
CIB-A1-048,D1_Code,93.0,5.82,2.1604,4.5e-05,0.0,95.0,100.0,75.0,67.5,100.0,0.0,95.6,1.0,62.96,,,,,,,,,
CIB-A1-049,D1_Code,93.0,5.82,1.7517,3.6e-05,0.0,95.0,100.0,75.0,67.5,100.0,0.0,96.4,1.0,63.08,,,,,,,,,
CIB-A1-050,D1_Code,89.8,5.82,3.9695,8.3e-05,0.0,85.0,100.0,45.0,57.5,100.0,0.0,91.8,1.0,58.89,,,,,,,,,
CIB-A1-051,D1_Code,91.0,5.82,6.462,0.000135,0.0,90.0,100.0,72.0,65.5,100.0,0.0,86.7,1.0,60.93,,,,,,,,,
CIB-A1-052,D1_Code,90.0,5.82,3.4282,7.1e-05,0.0,90.0,100.0,60.0,62.5,100.0,0.0,93.0,1.0,60.82,,,,,,,,,
CIB-A1-053,D1_Code,85.0,5.82,9.9806,0.000208,0.0,80.0,100.0,40.0,55.0,100.0,0.0,79.5,1.0,56.17,,,,,,,,,
CIB-A1-054,D1_Code,88.0,5.82,4.2236,8.8e-05,0.0,85.0,100.0,40.0,56.3,100.0,0.0,91.3,1.0,58.39,,,,,,,,,
CIB-A1-055,D1_Code,92.0,5.82,6.4344,0.000134,0.0,95.0,100.0,60.0,63.8,100.0,0.0,86.8,1.0,60.33,,,,,,,,,
CIB-A1-056,D1_Code,86.0,5.82,9.5741,0.000199,0.0,80.0,100.0,30.0,52.5,100.0,0.0,80.3,1.0,55.43,,,,,,,,,
CIB-A1-057,D1_Code,91.5,5.82,3.9911,8.3e-05,0.0,90.0,100.0,60.0,62.5,100.0,0.0,91.8,1.0,60.64,,,,,,,,,
CIB-A1-058,D1_Code,90.0,5.82,10.3779,0.000216,0.0,90.0,100.0,40.0,57.5,100.0,0.0,78.7,1.0,56.93,,,,,,,,,
CIB-A1-059,D1_Code,92.0,5.82,5.165,0.000108,0.0,95.0,100.0,50.0,61.3,100.0,0.0,89.4,1.0,59.85,,,,,,,,,
CIB-A1-060,D1_Code,94.0,5.82,3.115,6.5e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,93.6,1.0,63.11,,,,,,,,,
CIB-A1-061,D1_Code,87.0,5.82,1.3723,2.9e-05,0.0,80.0,100.0,40.0,55.0,100.0,0.0,97.2,1.0,58.83,,,,,,,,,
CIB-A1-062,D1_Code,91.0,5.82,2.5426,5.3e-05,0.0,90.0,100.0,40.0,57.5,100.0,0.0,94.8,1.0,59.34,,,,,,,,,
CIB-A1-063,D1_Code,89.0,5.82,3.2716,6.8e-05,0.0,85.0,100.0,30.0,53.8,100.0,0.0,93.3,1.0,57.81,,,,,,,,,
CIB-A1-064,D1_Code,95.0,5.82,4.7751,9.9e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,90.2,1.0,63.48,,,,,,,,,
CIB-A1-065,D1_Code,96.0,5.82,3.4117,7.1e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,93.0,1.0,73.52,,,,,,,,,
CIB-A1-066,D1_Code,93.0,5.82,4.907,0.000102,0.0,95.0,100.0,85.0,70.0,100.0,0.0,89.9,1.0,62.99,,,,,,,,,
CIB-A1-067,D1_Code,88.0,5.82,1.7646,3.7e-05,0.0,80.0,100.0,40.0,55.0,100.0,0.0,96.4,1.0,58.71,,,,,,,,,
CIB-A1-068,D1_Code,85.0,5.82,4.1019,8.5e-05,0.0,80.0,100.0,35.0,53.8,100.0,0.0,91.6,1.0,57.56,,,,,,,,,
CIB-A1-069,D1_Code,92.0,5.82,3.7756,7.9e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,92.2,1.0,59.41,,,,,,,,,
CIB-A1-070,D1_Code,98.5,5.82,1.4957,3.1e-05,100.0,100.0,100.0,65.0,91.3,100.0,0.0,96.9,1.0,81.47,,,,,,,,,
CIB-A1-071,D1_Code,85.0,5.82,2.1965,4.6e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,95.5,1.0,56.82,,,,,,,,,
CIB-A1-072,D1_Code,90.0,5.82,4.4835,9.3e-05,0.0,90.0,100.0,40.0,57.5,100.0,0.0,90.8,1.0,58.74,,,,,,,,,
CIB-A1-073,D1_Code,99.1,5.82,1.5104,3.1e-05,100.0,100.0,100.0,85.0,96.3,100.0,0.0,96.9,1.0,83.22,,,,,,,,,
CIB-A1-074,D1_Code,97.0,5.82,2.0272,4.2e-05,100.0,100.0,100.0,90.0,97.5,100.0,0.0,95.8,1.0,83.5,,,,,,,,,
CIB-A1-075,D1_Code,85.0,5.82,4.3139,9e-05,0.0,80.0,100.0,30.0,52.5,100.0,0.0,91.1,1.0,57.04,,,,,,,,,
CIB-A1-076,D1_Code,96.0,5.82,4.4705,9.3e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,90.8,1.0,83.19,,,,,,,,,
CIB-A1-077,D1_Code,95.5,5.82,3.1078,6.5e-05,100.0,100.0,100.0,35.0,83.8,100.0,0.0,93.6,1.0,78.36,,,,,,,,,
CIB-A1-078,D1_Code,94.0,5.82,1.4907,3.1e-05,100.0,100.0,100.0,90.0,97.5,100.0,0.0,96.9,1.0,83.66,,,,,,,,,
CIB-A1-079,D1_Code,98.0,5.82,0.9613,2e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,98.0,1.0,84.28,,,,,,,,,
CIB-A1-080,D1_Code,85.0,5.82,2.8957,6e-05,0.0,80.0,100.0,30.0,52.5,100.0,0.0,94.1,1.0,57.48,,,,,,,,,
CIB-A1-081,D1_Code,85.0,5.82,2.8599,6e-05,0.0,80.0,100.0,30.0,52.5,100.0,0.0,94.1,1.0,57.49,,,,,,,,,
CIB-A1-082,D1_Code,97.0,5.82,1.0358,2.2e-05,100.0,100.0,100.0,95.0,98.8,100.0,0.0,97.9,1.0,84.26,,,,,,,,,
CIB-A1-083,D1_Code,90.0,5.82,2.9053,6.1e-05,0.0,90.0,100.0,40.0,57.5,100.0,0.0,94.0,1.0,59.23,,,,,,,,,
CIB-A1-084,D1_Code,93.0,5.82,10.0951,0.00021,0.0,95.0,100.0,70.0,66.3,100.0,0.0,79.3,1.0,60.09,,,,,,,,,
CIB-A1-085,D1_Code,90.0,5.82,1.1476,2.4e-05,0.0,85.0,100.0,40.0,56.3,100.0,0.0,97.6,1.0,59.35,,,,,,,,,
CIB-A1-086,D1_Code,80.0,5.82,1.0503,2.2e-05,0.0,70.0,100.0,20.0,47.5,100.0,0.0,97.8,1.0,56.3,,,,,,,,,
CIB-A1-087,D1_Code,94.0,5.82,4.3042,9e-05,0.0,95.0,100.0,90.0,71.3,100.0,0.0,91.2,1.0,63.62,,,,,,,,,
CIB-A1-088,D1_Code,92.0,5.82,9.443,0.000197,0.0,90.0,100.0,50.0,60.0,100.0,0.0,80.6,1.0,58.09,,,,,,,,,
CIB-A1-089,D1_Code,98.0,5.82,1.6656,3.5e-05,100.0,100.0,100.0,88.0,97.0,100.0,0.0,96.6,1.0,83.43,,,,,,,,,
CIB-A1-090,D1_Code,88.0,5.82,3.4569,7.2e-05,0.0,85.0,100.0,30.0,50.0,100.0,0.0,92.9,1.0,56.44,,,,,,,,,
CIB-A1-091,D1_Code,90.0,5.82,6.2036,0.000129,0.0,90.0,100.0,35.0,56.3,100.0,0.0,87.3,1.0,57.78,,,,,,,,,
CIB-A1-092,D1_Code,85.0,5.82,1.8375,3.8e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,96.2,1.0,56.93,,,,,,,,,
CIB-A1-093,D1_Code,94.0,5.82,3.3319,6.9e-05,0.0,95.0,100.0,85.0,70.0,100.0,0.0,93.2,1.0,63.48,,,,,,,,,
CIB-A1-094,D1_Code,93.0,5.82,7.4349,0.000155,0.0,95.0,100.0,65.0,65.0,100.0,0.0,84.7,1.0,60.46,,,,,,,,,
CIB-A1-095,D1_Code,94.0,5.82,1.7594,3.7e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,96.4,1.0,63.53,,,,,,,,,
CIB-A1-096,D1_Code,90.0,5.82,3.129,6.5e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,93.6,1.0,59.61,,,,,,,,,
CIB-A1-097,D1_Code,91.0,5.82,8.9425,0.000186,0.0,90.0,100.0,50.0,60.0,100.0,0.0,81.6,1.0,58.24,,,,,,,,,
CIB-A1-098,D1_Code,99.2,5.82,1.8345,3.8e-05,100.0,100.0,100.0,70.0,92.5,100.0,0.0,96.2,1.0,81.81,,,,,,,,,
CIB-A1-099,D1_Code,94.0,5.82,3.1162,6.5e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,93.6,1.0,63.11,,,,,,,,,
CIB-A1-100,D1_Code,92.0,5.82,5.9951,0.000125,0.0,90.0,100.0,60.0,62.5,100.0,0.0,87.7,1.0,60.03,,,,,,,,,
CIB-A1-101,D1_Code,88.0,5.82,6.4583,0.000135,0.0,85.0,100.0,30.0,53.8,100.0,0.0,86.7,1.0,56.83,,,,,,,,,
CIB-A1-102,D1_Code,90.0,5.82,2.7384,5.7e-05,0.0,90.0,100.0,30.0,55.0,100.0,0.0,94.4,1.0,58.41,,,,,,,,,
CIB-A1-103,D1_Code,93.0,5.82,11.2476,0.000234,0.0,95.0,100.0,85.0,70.0,100.0,0.0,76.9,1.0,61.03,,,,,,,,,
CIB-A1-104,D1_Code,94.0,5.82,3.2186,6.7e-05,0.0,95.0,100.0,80.0,68.8,100.0,0.0,93.4,1.0,63.08,,,,,,,,,
CIB-A1-105,D1_Code,90.0,5.82,3.6015,7.5e-05,0.0,90.0,100.0,45.0,58.8,100.0,0.0,92.6,1.0,59.46,,,,,,,,,
CIB-A1-106,D1_Code,93.0,5.82,4.7872,0.0001,0.0,95.0,100.0,70.0,66.3,100.0,0.0,90.2,1.0,61.72,,,,,,,,,
CIB-A1-107,D1_Code,97.8,5.82,1.5771,3.3e-05,100.0,100.0,100.0,40.0,85.0,100.0,0.0,96.8,1.0,79.26,,,,,,,,,
CIB-A1-108,D1_Code,93.0,5.82,7.968,0.000166,0.0,95.0,100.0,70.0,66.3,100.0,0.0,83.6,1.0,60.74,,,,,,,,,
CIB-A1-109,D1_Code,92.0,5.82,4.977,0.000104,0.0,90.0,100.0,65.0,63.8,100.0,0.0,89.8,1.0,60.79,,,,,,,,,
CIB-A1-110,D1_Code,95.0,5.82,2.9385,6.1e-05,0.0,100.0,100.0,90.0,72.5,100.0,0.0,94.0,1.0,64.47,,,,,,,,,
CIB-A1-111,D1_Code,96.5,5.82,2.7319,5.7e-05,100.0,100.0,100.0,82.0,95.5,100.0,0.0,94.4,1.0,82.58,,,,,,,,,
