id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-C1-001,D3_RAG,95.0,6.12,6.1784,0.000129,20.5,85.0,80.0,100.0,0.0,100.0,71.4,87.3,1,55.98
CIB-C1-002,D3_RAG,96.0,6.12,3.9298,0.000082,41.7,95.0,90.0,100.0,0.0,100.0,81.7,91.9,1,69.19
CIB-C1-003,D3_RAG,94.0,6.12,4.7786,0.000100,45.8,90.0,85.0,100.0,0.0,100.0,80.2,90.2,1,68.61
CIB-C1-004,D3_RAG,92.0,6.12,10.2285,0.000213,25.9,85.0,88.0,100.0,0.0,100.0,74.7,79.0,1,65.51
CIB-C1-005,D3_RAG,88.0,6.12,15.2672,0.000318,28.9,80.0,85.0,100.0,0.0,100.0,73.5,68.7,1,63.67
CIB-C1-006,D3_RAG,65.0,6.12,15.9107,0.000331,20.0,40.0,80.0,0.0,0.0,100.0,35.0,67.3,1,43.85
CIB-C1-007,D3_RAG,97.0,6.12,2.5646,0.000053,44.4,100.0,88.0,100.0,0.0,100.0,83.1,94.7,1,69.98
CIB-C1-008,D3_RAG,90.0,6.12,7.1506,0.000149,12.2,90.0,85.0,100.0,0.0,100.0,71.8,85.3,1,65.74
CIB-C1-009,D3_RAG,60.0,6.12,15.6597,0.000326,19.1,20.0,75.0,0.0,0.0,100.0,28.5,67.9,1,42.29
CIB-C1-010,D3_RAG,95.0,6.12,3.5644,0.000074,40.0,100.0,92.0,100.0,0.0,100.0,83.0,92.7,1,69.65
CIB-C1-011,D3_RAG,89.0,6.12,6.8744,0.000143,8.5,90.0,85.0,100.0,0.0,100.0,70.9,85.9,1,65.59
CIB-C1-012,D3_RAG,85.0,6.12,17.7050,0.000369,7.1,80.0,85.0,100.0,0.0,100.0,68.0,63.6,1,59.55
CIB-C1-013,D3_RAG,60.0,6.12,9.8932,0.000206,27.2,30.0,78.0,0.0,0.0,100.0,33.8,79.7,1,45.40
CIB-C1-014,D3_RAG,92.0,6.12,9.3275,0.000194,23.1,85.0,85.0,100.0,0.0,100.0,73.3,80.8,1,66.21
CIB-C1-015,D3_RAG,68.0,6.12,7.7910,0.000162,32.8,40.0,80.0,0.0,0.0,100.0,38.2,84.0,1,47.15
CIB-C1-016,D3_RAG,94.0,6.12,5.0188,0.000105,24.4,95.0,90.0,100.0,0.0,100.0,77.3,89.7,1,68.39
CIB-C1-017,D3_RAG,98.0,6.12,4.2498,0.000089,52.6,100.0,90.0,100.0,0.0,100.0,85.7,91.3,1,69.61
CIB-C1-018,D3_RAG,93.0,6.12,6.0392,0.000126,36.4,90.0,85.0,100.0,0.0,100.0,77.8,87.6,1,67.59
CIB-C1-019,D3_RAG,55.0,6.12,10.4336,0.000217,20.7,20.0,75.0,0.0,0.0,100.0,28.9,78.6,1,43.99
CIB-C1-020,D3_RAG,52.0,6.12,10.2107,0.000213,20.5,10.0,80.0,0.0,0.0,100.0,27.6,79.0,1,43.76
CIB-C1-021,D3_RAG,88.0,6.12,13.2049,0.000275,12.5,80.0,85.0,100.0,0.0,100.0,69.4,72.9,1,63.28
CIB-C1-022,D3_RAG,84.0,6.12,28.0530,0.000584,9.7,85.0,88.0,100.0,0.0,100.0,70.7,42.3,1,59.02
CIB-C1-023,D3_RAG,95.0,6.12,4.1499,0.000086,7.4,95.0,90.0,100.0,0.0,100.0,73.1,91.5,1,66.99
CIB-C1-024,D3_RAG,85.0,6.12,6.1909,0.000129,19.0,70.0,80.0,100.0,0.0,100.0,67.3,87.3,1,64.91
CIB-C1-025,D3_RAG,70.0,6.12,7.0958,0.000148,17.1,40.0,80.0,0.0,0.0,100.0,34.3,85.4,1,46.38
CIB-C1-026,D3_RAG,90.0,6.12,5.5975,0.000117,24.5,90.0,85.0,100.0,0.0,100.0,74.9,88.5,1,67.00
CIB-C1-027,D3_RAG,92.0,6.12,7.2135,0.000150,25.0,95.0,88.0,100.0,0.0,100.0,77.0,85.2,1,67.02
CIB-C1-028,D3_RAG,96.0,6.12,4.0757,0.000085,41.7,95.0,90.0,100.0,0.0,100.0,81.7,91.6,1,69.15
CIB-C1-029,D3_RAG,95.0,6.12,4.4804,0.000093,34.3,90.0,85.0,100.0,0.0,100.0,77.3,90.8,1,67.94
CIB-C1-030,D3_RAG,62.0,6.12,8.0920,0.000169,24.2,30.0,75.0,0.0,0.0,100.0,32.3,83.3,1,45.58
CIB-C1-031,D3_RAG,91.0,6.12,7.6183,0.000159,21.3,80.0,85.0,100.0,0.0,100.0,71.6,84.3,1,65.55
CIB-C1-032,D3_RAG,94.0,6.12,6.7068,0.000140,14.8,95.0,88.0,100.0,0.0,100.0,74.5,86.2,1,66.54
CIB-C1-033,D3_RAG,60.0,6.12,9.1126,0.000190,21.2,20.0,75.0,0.0,0.0,100.0,29.0,81.2,1,44.44
CIB-C1-034,D3_RAG,97.0,6.12,4.2991,0.000090,50.0,85.0,85.0,100.0,0.0,100.0,80.0,91.2,1,68.67
CIB-C1-035,D3_RAG,88.0,6.12,16.4857,0.000343,9.1,80.0,85.0,100.0,0.0,100.0,68.5,66.2,1,59.06
CIB-C1-036,D3_RAG,65.0,6.12,22.1346,0.000461,8.9,30.0,80.0,0.0,0.0,100.0,29.7,54.5,1,40.61
CIB-C1-037,D3_RAG,96.0,6.12,3.5394,0.000074,27.3,95.0,90.0,100.0,0.0,100.0,78.1,92.7,1,68.42
CIB-C1-038,D3_RAG,93.0,6.12,7.1396,0.000149,19.6,85.0,85.0,100.0,0.0,100.0,72.4,85.3,1,65.90
CIB-C1-039,D3_RAG,94.0,6.12,4.6258,0.000096,13.8,95.0,90.0,100.0,0.0,100.0,74.7,90.5,1,67.24
CIB-C1-040,D3_RAG,99.0,6.12,4.6939,0.000098,53.3,100.0,85.0,100.0,0.0,100.0,84.6,90.3,1,69.70
CIB-C1-041,D3_RAG,89.0,6.12,11.5791,0.000241,6.8,90.0,85.0,100.0,0.0,100.0,70.5,76.2,1,64.04
CIB-C1-042,D3_RAG,86.0,6.12,23.5893,0.000491,8.9,80.0,85.0,100.0,0.0,100.0,68.5,51.5,1,56.85
CIB-C1-043,D3_RAG,95.0,6.12,5.9400,0.000124,20.5,95.0,88.0,100.0,0.0,100.0,75.9,87.8,1,67.14
CIB-C1-044,D3_RAG,70.0,6.12,8.6429,0.000180,29.7,40.0,75.0,0.0,0.0,100.0,36.2,82.2,1,46.38
CIB-C1-045,D3_RAG,90.0,6.12,10.8078,0.000225,17.9,85.0,85.0,100.0,0.0,100.0,72.0,77.8,1,64.66
CIB-C1-046,D3_RAG,92.0,6.12,8.8732,0.000185,11.1,90.0,85.0,100.0,0.0,100.0,71.5,81.8,1,65.15
CIB-C1-047,D3_RAG,68.0,6.12,9.5049,0.000198,17.1,30.0,78.0,0.0,0.0,100.0,31.3,80.5,1,44.90
CIB-C1-048,D3_RAG,91.0,6.12,8.9518,0.000186,12.8,85.0,85.0,100.0,0.0,100.0,70.7,81.6,1,64.91
CIB-C1-049,D3_RAG,98.0,6.12,2.7516,0.000057,28.6,100.0,95.0,100.0,0.0,100.0,80.9,94.4,1,69.38
CIB-C1-050,D3_RAG,90.0,6.12,21.2858,0.000443,8.1,85.0,85.0,100.0,0.0,100.0,69.5,56.2,1,58.42